5	1024
0 0 0 0 0 	0.409626
0 0 0 0 1 	0.457727
0 0 0 0 2 	0.320906
0 0 0 0 3 	0.214320
0 0 0 1 0 	-0.796147
0 0 0 1 1 	-0.339526
0 0 0 1 2 	0.469030
0 0 0 1 3 	0.112099
0 0 0 2 0 	-0.249929
0 0 0 2 1 	0.125452
0 0 0 2 2 	0.131753
0 0 0 2 3 	-0.040732
0 0 0 3 0 	0.732064
0 0 0 3 1 	0.561128
0 0 0 3 2 	0.133787
0 0 0 3 3 	-0.534987
0 0 1 0 0 	0.083808
0 0 1 0 1 	0.458527
0 0 1 0 2 	0.092863
0 0 1 0 3 	-0.464179
0 0 1 1 0 	0.269790
0 0 1 1 1 	0.727578
0 0 1 1 2 	-0.207345
0 0 1 1 3 	0.193674
0 0 1 2 0 	-0.390473
0 0 1 2 1 	0.069780
0 0 1 2 2 	0.010977
0 0 1 2 3 	0.328436
0 0 1 3 0 	-0.360905
0 0 1 3 1 	0.565134
0 0 1 3 2 	-0.645331
0 0 1 3 3 	0.449607
0 0 2 0 0 	0.408783
0 0 2 0 1 	0.330351
0 0 2 0 2 	-0.371788
0 0 2 0 3 	0.561220
0 0 2 1 0 	0.128966
0 0 2 1 1 	-0.466557
0 0 2 1 2 	-0.390570
0 0 2 1 3 	-0.252657
0 0 2 2 0 	-0.427583
0 0 2 2 1 	0.490596
0 0 2 2 2 	0.404466
0 0 2 2 3 	-0.167421
0 0 2 3 0 	-0.738900
0 0 2 3 1 	-0.365871
0 0 2 3 2 	-0.645429
0 0 2 3 3 	-0.004245
0 0 3 0 0 	-0.508366
0 0 3 0 1 	0.254904
0 0 3 0 2 	0.186959
0 0 3 0 3 	0.538814
0 0 3 1 0 	-0.106792
0 0 3 1 1 	0.430741
0 0 3 1 2 	0.350123
0 0 3 1 3 	0.405925
0 0 3 2 0 	-0.577016
0 0 3 2 1 	0.342078
0 0 3 2 2 	0.492103
0 0 3 2 3 	0.430930
0 0 3 3 0 	-0.027875
0 0 3 3 1 	-0.810667
0 0 3 3 2 	-0.768692
0 0 3 3 3 	0.466842
0 1 0 0 0 	-0.200430
0 1 0 0 1 	-0.601211
0 1 0 0 2 	0.384989
0 1 0 0 3 	-0.286141
0 1 0 1 0 	0.004277
0 1 0 1 1 	0.327350
0 1 0 1 2 	0.421058
0 1 0 1 3 	0.654124
0 1 0 2 0 	-0.192624
0 1 0 2 1 	-0.620273
0 1 0 2 2 	-0.371180
0 1 0 2 3 	0.286194
0 1 0 3 0 	0.262243
0 1 0 3 1 	-0.202360
0 1 0 3 2 	0.748171
0 1 0 3 3 	0.247374
0 1 1 0 0 	-0.087522
0 1 1 0 1 	-0.382423
0 1 1 0 2 	0.574930
0 1 1 0 3 	0.087978
0 1 1 1 0 	-0.375317
0 1 1 1 1 	-0.011667
0 1 1 1 2 	-0.333355
0 1 1 1 3 	0.075934
0 1 1 2 0 	0.209082
0 1 1 2 1 	-0.527294
0 1 1 2 2 	0.498933
0 1 1 2 3 	-0.395498
0 1 1 3 0 	0.127900
0 1 1 3 1 	0.168572
0 1 1 3 2 	0.720240
0 1 1 3 3 	0.583987
0 1 2 0 0 	-0.508560
0 1 2 0 1 	-0.031613
0 1 2 0 2 	0.057889
0 1 2 0 3 	0.041883
0 1 2 1 0 	-0.211682
0 1 2 1 1 	-0.282194
0 1 2 1 2 	0.488585
0 1 2 1 3 	-0.348331
