0,13,25
5,14,25
10,12,25
15,13,25
20,15,25
25,13,25
30,17,25
35,8,25
40,14,25
45,10,25
50,9,25
55,10,25
60,12,25
65,12,25
70,9,25
75,12,25
80,15,25
85,11,25
90,14,25
95,14,25
100,11,25
105,12,25
110,15,25
115,13,25
120,16,25
125,12,25
130,12,25
135,14,25
140,15,25
145,15,25
150,16,25
155,12,25
160,15,25
165,11,25
170,14,25
175,15,25
180,9,25
185,13,25
190,13,25
195,18,25
200,18,25
205,16,25
210,15,25
215,15,25
220,12,25
225,14,25
230,19,25
235,16,25
240,18,25
245,16,25
250,13,25
255,18,25
260,11,25
265,14,25
270,16,25
275,14,25
280,12,25
285,11,25
290,15,25
295,16,25
300,11,25
305,12,25
310,16,25
315,16,25
320,13,25
325,15,25
330,11,25
335,12,25
340,13,25
345,13,25
350,12,25
355,17,25
360,17,25
365,19,25
370,13,25
375,12,25
380,12,25
385,12,25
390,14,25
395,14,25
400,10,25
405,18,25
410,15,25
415,13,25
420,12,25
425,17,25
430,23,25
435,20,18
440,20,18
445,18,25
450,21,25
455,24,18
460,24,16
465,21,22
470,22,25
475,15,25
480,25,22
485,20,24
490,21,24
495,24,19
500,21,18
505,24,18
510,25,24
515,18,25
520,22,17
525,20,19
530,22,23
535,19,18
540,22,15
545,23,18
550,23,17
555,20,19
560,23,15
565,22,12
570,21,17
575,25,23
580,21,25
585,14,25
590,20,25
595,22,21
600,24,25
605,21,23
610,23,24
615,22,24
620,23,25
625,23,19
630,23,22
635,18,14
640,19,14
645,23,22
650,21,16
655,16,14
660,18,22
665,20,15
670,24,19
675,21,13
680,21,19
685,22,14
690,24,20
695,23,20
700,24,18
705,24,18
710,16,15
715,22,21
720,21,16
725,23,15
730,22,16
735,18,14
740,23,17
745,21,15
750,19,18
755,21,13
760,16,20
765,17,14
770,20,18
775,22,19
780,25,19
785,24,19
790,21,20
795,19,20
800,25,18
805,20,23
810,22,17
815,23,18
820,19,18
825,22,15
830,25,16
835,20,18
840,22,19
845,25,14
850,23,19
855,21,19
860,21,19
865,21,17
870,21,18
875,21,17
880,23,12
885,22,17
890,20,17
895,21,20
900,23,19
905,25,19
910,24,19
915,18,19
920,16,25
925,24,14
930,24,17
935,25,16
940,22,17
945,23,13
950,20,13
955,22,22
960,24,21
965,24,22
970,23,20
975,19,18
980,21,19
985,21,14
990,21,16
995,23,17
